Nama Produk,Harga,Toko,Platform,Rating,Jumlah Terjual,Lokasi Toko,Link Produk,Diskon/Promo
NPURE Cica Beat The Sun SPF 50,126960,NPURE Flagship,Shopee,4.9,4517,Bekasi,,Diskon 7%
Avoskin Miraculous Refining Serum,"135,705",Avoskin Shop,Tokopedia,4.8,6895,Balikpapan,https://tokopedia.com/shop/product-800781-350589445,
NPURE Cica Beat The Sun SPF 50,188751,NPURE Official,Shopee,4.9,6069,Bekasi,https://shopee.co.id/product/103316/262157777,
Scarlett Whitening Acne Serum,254564,Scarlett Center,Shopee,4.8,1798,Surabaya,https://shopee.co.id/product/237060/43567410,diskon 20%
The Originote Bakuchiol Skin Barrier Serum,78045,Toko The Originote,Tokopedia,"5,0",3325,Probolinggo,https://tokopedia.com/shop/product-951762-778730956,Gratis Ongkir
Some By Mi AHA BHA PHA 30 Days Miracle Serum,240299,Some By Mi Center,Tokopedia,4.7,1321,Banjarmasin,,
Scarlett Whitening Acne Serum,206026,Scarlett Official Store,Shopee,4.8,banyak,Probolinggo,,Diskon 15%
Azarine Hydramax C Sunscreen Serum,Rp179.459,Azarine Official Store,Tokopedia,4.6,1051,Yogyakarta,https://tokopedia.com/beauty/product-286224-267398797,VOUCHER 20K
Whitelab Brightening Face Serum,286211,Whitelab Beauty Store,Tokopedia,5,3946,Batam,https://tokopedia.com/official/product-931780-433763347,buy1 get1
Azarine Hydramax C Sunscreen Serum,37786,Azarine Shop,Tokopedia,4.7,2657,Kendal,https://tokopedia.com/official/product-459327-159159541,Diskon 12%
Citra Pearl Fair UV Face Cream,50143,Citra Center,Tokopedia,4.6,9625,Depok,https://tokopedia.com/shop/product-113080-333205879,Gratis Ongkir
Citra Pearl Fair UV Face Cream,82516,Citra Official Store,Tokopedia,,3023,Solo,https://tokopedia.com/official/product-792152-36729128,
Hada Labo Gokujyun Ultimate Moisturizing Lotion,50416,Hada Labo Shop,Tokopedia,5,4580,Martapura,https://tokopedia.com/official/product-880874-101804466,Diskon 8%
Scarlett Whitening Acne Serum,203623,Scarlett Shop,Tokopedia,4.9,4093,Denpasar,https://tokopedia.com/shop/product-428548-823455823,Gratis Ongkir
Skintific 5X Ceramide Barrier Repair Moisturizer,295020,Skintific Official Store,Shopee,,1274,Bandung,https://shopee.co.id/product/547956/544406030,buy1 get1
Garnier Bright Complete Serum,,Garnier Shop,shopee,4.7,1838,Manado,https://shopee.co.id/product/366269/123857018,
Somethinc Niacinamide Moisture Sabi Beet Serum,281324,Somethinc Flagship,Tokopedia,4.9,1005,Gresik,https://tokopedia.com/beauty/product-433599-680449422,Diskon 20%
Elsheskin Radiant Skin Serum,270089,Elsheskin Center,Tokopedia,4.9,2563,Pangkalan Bun,https://tokopedia.com/official/product-521178-188765036,Voucher 20K
Olay Total Effects 7 in One Day Cream,108653,Toko Olay,Shopee,4.8,655,Bogor,https://shopee.co.id/product/209691/936310975,DISKON 12%
Azarine Hydramax C Sunscreen Serum,,Azarine Official Store,Shopee,4.8,3011,Medan,https://shopee.co.id/product/569135/691540264,
The Originote Bakuchiol Skin Barrier Serum,203434,The Originote Official Store,Tokopedia,4.6,4212,Cirebon,https://tokopedia.com/shop/product-648916-23703468,
Lacoco Dark Spot Essence,198138,Toko Lacoco,Tokopedia,4.8,4751,Samarinda,https://tokopedia.com/shop/product-116028-583577732,Cashback 5%
Somethinc Niacinamide Moisture Sabi Beet Serum,211004,Somethinc Shop,Tokopedia,4.7,2557,Surabaya,,buy1 get1
MS Glow Whitening Night Cream,Rp295.424,MS Glow Official Store,Shopee,5,4219,Yogyakarta,https://shopee.co.id/product/573054/136699816,Gratis Ongkir
Emina Bright Stuff Face Serum,269574,Emina Beauty Store,Shopee,4.8,1558,Makassar,https://shopee.co.id/product/618404/798420689,
Azarine Hydramax C Sunscreen Serum,277921,Azarine Shop,Shopee,5,2761,Sidoarjo,,Buy 1 Get 1
Azarine Hydramax C Sunscreen Serum,"108,598",Azarine Official Store,Shopee,4.7,1393,Bekasi,https://shopee.co.id/product/537950/468412692,
Scarlett Whitening Acne Serum,Rp129.381,Scarlett Official Store,Shopee,"4,7",9120,Pontianak,https://shopee.co.id/product/512400/779099029,
Elsheskin Radiant Skin Serum,271085,Elsheskin Center,Tokopedia,,2741,Purwokerto,https://tokopedia.com/beauty/product-858178-899361521,BUY 1 GET 1
Lacoco Dark Spot Essence,274896,Toko Lacoco,Shopee,"4,9",9024,Pangkalan Bun,,Diskon 9%
MS Glow Whitening Night Cream,136398,MS Glow Official Store,Shopee,4.8,7016,Makassar,https://shopee.co.id/product/489304/623000900,
Emina Bright Stuff Face Serum,223055,Emina Flagship,Shopee,4.8,1305,Cilacap,https://shopee.co.id/product/171523/442300893,Gratis Ongkir
NPURE Cica Beat The Sun SPF 50,116553,NPURE Center,shopee,5,1014,Cilacap,https://shopee.co.id/product/955391/501572599,
Whitelab Brightening Face Serum,195148,Whitelab Beauty Store,Shopee,4.9,3728,Palembang,https://shopee.co.id/product/561656/876207336,
Emina Bright Stuff Face Serum,92831,Emina Center,Shopee,4.9,1742,Probolinggo,shopee.co.id/product/288435/389809912,Diskon 7%
Hada Labo Gokujyun Ultimate Moisturizing Lotion,58849,Hada Labo Center,Shopee,4.6,5826,Pangkalan Bun,https://shopee.co.id/product/379788/374947394,
The Originote Bakuchiol Skin Barrier Serum,127953,The Originote Beauty Store,Shopee,4.6,1270,Blitar,https://shopee.co.id/product/490179/877208861,Diskon 9%
Hada Labo Gokujyun Ultimate Moisturizing Lotion,236011,Hada Labo Shop,Shopee,4.8,,Bogor,https://shopee.co.id/product/633609/145098221,Diskon 20%
Wardah Lightening Day Cream Advanced Niacinamide,212238,Wardah Center,Tokopedia,4.6,4626,Jember,https://tokopedia.com/beauty/product-417479-923059528,
Lacoco Dark Spot Essence,235596,Lacoco Center,Tokopedia,4.8,379,Martapura,https://tokopedia.com/official/product-615383-730702384,Voucher 20K
The Originote Bakuchiol Skin Barrier Serum,149105,The Originote Beauty Store,Tokopedia,4.9,143,Sukabumi,,Gratis Ongkir
Citra Pearl Fair UV Face Cream,164644,Citra Official Store,Shopee,4.9,525,Pangkalan Bun,https://shopee.co.id/product/496916/887001221,
Somethinc Niacinamide Moisture Sabi Beet Serum,136523,Somethinc Official Store,Tokopedia,4.7,793,Ciamis,https://tokopedia.com/shop/product-124949-439537938,Diskon 5%
MS Glow Whitening Night Cream,,MS Glow Flagship,Tokopedia,,5578,Sidoarjo,tokopedia.com/official/product-336131-965332893,buy1 get1
Whitelab Brightening Face Serum,264.247,Whitelab Flagship,Tokopedia,,2661,Blitar,https://tokopedia.com/beauty/product-826340-451440341,Diskon 9%
Garnier Bright Complete Serum,44877,Garnier Official Store,Tokopedia,,690,Ciamis,https://tokopedia.com/beauty/product-799391-152735266,Cashback 5%
The Originote Bakuchiol Skin Barrier Serum,65690,The Originote Official Store,Tokopedia,4.8,5611,Bogor,https://tokopedia.com/shop/product-664591-803220523,Diskon 10%
Skintific 5X Ceramide Barrier Repair Moisturizer,254566,Skintific Official Store,Tokopedia,"4,9",139,Malang,https://tokopedia.com/official/product-572306-238914981,Gratis Ongkir
Hada Labo Gokujyun Ultimate Moisturizing Lotion,91722,Hada Labo Official,Shopee,4.7,4542,Pangkalan Bun,https://shopee.co.id/product/646891/639071393,
Some By Mi AHA BHA PHA 30 Days Miracle Serum,2875967,Some By Mi Shop,Tokopedia,4.9,4461,Cilacap,https://tokopedia.com/official/product-129106-564922309,
Garnier Bright Complete Serum,199849,Garnier Center,Shopee,"4,9",2597,Karawang,,GRATIS ONGKIR
Emina Bright Stuff Face Serum,189656,Emina Shop,Tokopedia,4.8,3384,Salatiga,https://tokopedia.com/official/product-263608-853703200,
Olay Total Effects 7 in One Day Cream,50143,Olay Center,Tokopedia,4.6,197,Palembang,https://tokopedia.com/shop/product-113080-333205879,Gratis Ongkir
Emina Bright Stuff Face Serum,143238,Emina Beauty Store,Tokopedia,4.8,9391,Kudus,,DISKON 10%
Garnier Bright Complete Serum,297056,Garnier Shop,Shopee,"4,8",8997,Balikpapan,https://shopee.co.id/product/942153/521258712,
Garnier Bright Complete Serum,119193,Garnier Flagship,Shopee,4.7,3543,Kendal,https://shopee.co.id/product/980181/34197923,
Erha Acneact Serum,232880,Erha Beauty Store,Shopee,5,4844,Banjarmasin,https://shopee.co.id/product/693592/302345566,
Citra Pearl Fair UV Face Cream,104618,Toko Citra,Shopee,,884,Banyuwangi,https://shopee.co.id/product/911607/22993859,
Hada Labo Gokujyun Ultimate Moisturizing Lotion,Rp129.339,Toko Hada Labo,Tokopedia,,1413,Pekanbaru,https://tokopedia.com/shop/product-247862-151437201,Diskon 5%
Some By Mi AHA BHA PHA 30 Days Miracle Serum,"84,893",Some By Mi Shop,Tokopedia,4.8,462,Palopo,,Diskon 12%
Garnier Bright Complete Serum,Rp61.971,Garnier Flagship,Shopee,4.7,2026,Metro,https://shopee.co.id/product/592273/574375263,
Hada Labo Gokujyun Ultimate Moisturizing Lotion,85523,Hada Labo Official,Tokopedia,4.8,3290,Purwokerto,https://tokopedia.com/beauty/product-723387-715912301,
Skintific 5X Ceramide Barrier Repair Moisturizer,188776,Skintific Center,Tokopedia,4.7,1137,Jember,https://tokopedia.com/beauty/product-515741-512873975,Buy 1 Get 1
Azarine Hydramax C Sunscreen Serum,154890,Azarine Center,Shopee,"4,6",4033,Kudus,shopee.co.id/product/155748/668457776,
The Originote Bakuchiol Skin Barrier Serum,291686,The Originote Shop,Shopee,4.8,3340,Bandung,https://shopee.co.id/product/710155/818237177,FREE GIFT
Olay Total Effects 7 in One Day Cream,"285,606",Olay Beauty Store,Tokopedia,4.8,7617,Kudus,tokopedia.com/shop/product-798284-510971260,
Some By Mi AHA BHA PHA 30 Days Miracle Serum,272666,Some By Mi Official Store,Shopee,"4,7",441,Tangerang,https://shopee.co.id/product/172897/998814899,
Citra Pearl Fair UV Face Cream,187291,Toko Citra,Tokopedia,4.6,6537,Purwokerto,https://tokopedia.com/shop/product-545110-22164998,
Whitelab Brightening Face Serum,173373,Toko Whitelab,Tokopedia,4.8,9725,,,
Somethinc Niacinamide Moisture Sabi Beet Serum,1542,Somethinc Official Store,Tokopedia,5,4252,Manado,,
Emina Bright Stuff Face Serum,221528,Emina Flagship,Tokopedia,4.8,1217,Cilacap,https://tokopedia.com/shop/product-730383-465740426,Diskon 12%
Wardah Lightening Day Cream Advanced Niacinamide,96753,Toko Wardah,Tokopedia,4.8,6725,Pangkalan Bun,https://tokopedia.com/official/product-171299-41694217,
Citra Pearl Fair UV Face Cream,146063,Citra Flagship,Tokopedia,4.7,4750,Palopo,https://tokopedia.com/official/product-115123-826669497,Diskon 5%
Olay Total Effects 7 in One Day Cream,74702,Olay Center,Shopee,4.7,3035,Kediri,https://shopee.co.id/product/680800/981132182,
The Originote Bakuchiol Skin Barrier Serum,184724,The Originote Center,Shopee,,110,Tegal,https://shopee.co.id/product/256841/330268768,Diskon 15%
Elsheskin Radiant Skin Serum,94449,Elsheskin Official,Tokopedia,4.8,4104,Gresik,https://tokopedia.com/shop/product-576443-328423511,
Citra Pearl Fair UV Face Cream,299889,Toko Citra,Tokopedia,4.8,6823,Kendal,https://tokopedia.com/shop/product-111278-863144376,Diskon 20%
Elsheskin Radiant Skin Serum,246823,Toko Elsheskin,Tokopedia,4.7,-29,Manado,https://tokopedia.com/beauty/product-229863-608630582,
The Originote Bakuchiol Skin Barrier Serum,104283,The Originote Official Store,Tokopedia,4.7,5717,Bekasi,https://tokopedia.com/beauty/product-130786-858116521,
Hada Labo Gokujyun Ultimate Moisturizing Lotion,1955693,Hada Labo Flagship,Shopee,"4,7",1487,Gresik,https://shopee.co.id/product/183997/26034775,buy1 get1
Erha Acneact Serum,162037,Erha Center,Tokopedia,4.9,673,Tegal,https://tokopedia.com/official/product-607203-877231031,Diskon 8%
Erha Acneact Serum,173460,Erha Official Store,Shopee,4.8,4145,Martapura,https://shopee.co.id/product/551175/111825614,Diskon 15%
Whitelab Brightening Face Serum,"189,993",Whitelab Shop,Tokopedia,4.7,1404,Banyuwangi,https://tokopedia.com/beauty/product-824416-93702402,
MS Glow Whitening Night Cream,Rp70.501,MS Glow Official Store,Tokopedia,"4,7",1265,Pasuruan,https://tokopedia.com/shop/product-880490-28090535,Bonus Sample
Garnier Bright Complete Serum,158693,Garnier Center,Shopee,4.7,2778,Banyuwangi,https://shopee.co.id/pr0duct/998550/390184257,
The Originote Bakuchiol Skin Barrier Serum,295616,The Originote Official,Shopee,4.7,,Sukabumi,shopee.co.id/product/874400/687366305,Diskon 5%
Olay Total Effects 7 in One Day Cream,226075,Toko Olay,shopee,4.6,3149,Jakarta,https://shopee.co.id/product/744910/380392344,Diskon 5%
Erha Acneact Serum,127937,Erha Official,Shopee,4.7,2217,Padang,https://shopee.co.id/product/464289/51635262,Diskon 12%
Wardah Lightening Day Cream Advanced Niacinamide,234545,Wardah Beauty Store,Shopee,4.9,751,Probolinggo,shopee.co.id/product/457809/267130762,
Some By Mi AHA BHA PHA 30 Days Miracle Serum,227547,Some By Mi Center,Shopee,4.9,2879,Jakarta,https://shopee.co.id/product/732356/803876094,Cashback 5%
The Originote Bakuchiol Skin Barrier Serum,169172,The Originote Beauty Store,Tokopedia,4.9,1941,Semarang,,
Skintific 5X Ceramide Barrier Repair Moisturizer,139296,Skintific Center,Shopee,4.7,9540,Tegal,https://shopee.co.id/product/476968/121750477,Diskon 9%
Some By Mi AHA BHA PHA 30 Days Miracle Serum,44887,Some By Mi Center,Shopee,4.7,8758,Cilacap,https://shopee.co.id/product/369442/661806970,
Pond's Bright Beauty Triple Glow Serum,194935,Toko Pond's,Tokopedia,,231,Bekasi,https://tokopedia.com/official/product-250521-24221812,Diskon 7%
Somethinc Niacinamide Moisture Sabi Beet Serum,277954,Somethinc Center,Shopee,4.9,4613,Martapura,,
The Originote Bakuchiol Skin Barrier Serum,200351,The Originote Beauty Store,Shopee,"4,7",3625,Balikpapan,https://shopee.co.id/product/561801/344245558,Voucher 20K
Scarlett Whitening Acne Serum,Rp208.269,Scarlett Official,Shopee,,1438,Karawang,https://shopee.co.id/product/341771/902992606,Free Gift
Somethinc Niacinamide Moisture Sabi Beet Serum,86203,Toko Somethinc,Tokopedia,4.8,2387,Pangkalan Bun,https://tokopedia.com/beauty/product-937056-130739388,buy1 get1
Citra Pearl Fair UV Face Cream,178896,Toko Citra,Shopee,4.6,901,Purwokerto,https://shopee.co.id/product/892317/156183027,Diskon 12%
Pond's Bright Beauty Triple Glow Serum,199588,Pond's Flagship,Tokopedia,4.6,1196,Kendal,,Diskon 20%
MS Glow Whitening Night Cream,95697,Toko MS Glow,Shopee,4.8,3340,Kendal,https://shopee.co.id/product/388118/852204830,Cashback 5%
Somethinc Niacinamide Moisture Sabi Beet Serum,265.798,Somethinc Official Store,Shopee,4.8,397,Martapura,https://shopee.co.id/product/628196/608439627,
NPURE Cica Beat The Sun SPF 50,74918,NPURE Center,Tokopedia,4.9,5844,Gresik,https://tokopedia.com/shop/product-944049-960093503,
Whitelab Brightening Face Serum,40776,Whitelab Beauty Store,Tokopedia,5,507,Tangerang,https://tokopedia.com/official/product-508354-589301159,Diskon 7%
Garnier Bright Complete Serum,130926,Garnier Flagship,Tokopedia,4.9,79,Sukabumi,https://tokopedia.com/beauty/product-546065-467798393,Buy 1 Get 1
Whitelab Brightening Face Serum,48763,Whitelab Official,Tokopedia,4.8,484,Solo,https://tokopedia.com/shop/product-350096-253925405,diskon 9%
The Originote Bakuchiol Skin Barrier Serum,91959,The Originote Flagship,Shopee,4.8,8249,Pontianak,https://shopee.co.id/product/771171/913701473,
Elsheskin Radiant Skin Serum,73763,Elsheskin Flagship,Tokopedia,4.6,1210,Blitar,,
Erha Acneact Serum,125.314,Toko Erha,Tokopedia,4.8,3826,Depok,https://tokopedia.com/beauty/product-733859-77880011,Diskon 7%
Garnier Bright Complete Serum,148223,Garnier Official Store,Tokopedia,4.8,7629,Probolinggo,https://tokopedia.com/official/product-304885-874992459,
Scarlett Whitening Acne Serum,,Scarlett Official,Shopee,4.7,615,Bekasi,https://shopee.co.id/product/556131/558008262,Gratis Ongkir
Scarlett Whitening Acne Serum,132447,Scarlett Center,Shopee,,2827,Jakarta,https://shopee.co.id/product/415596/382984535,
The Originote Bakuchiol Skin Barrier Serum,"75,020",The Originote Center,Tokopedia,4.7,341,Surabaya,https://tokopedia.com/shop/product-757008-90995131,
Whitelab Brightening Face Serum,35579,Whitelab Center,Shopee,4.9,2136,Blitar,https://shopee.co.id/product/233418/88960882,Diskon 7%
Erha Acneact Serum,2072889,Erha Official Store,Shopee,,9715,Parepare,https://shopee.co.id/product/618890/594641140,
Olay Total Effects 7 in One Day Cream,145436,Olay Official,Shopee,4.7,440,Madiun,https://shopee.co.id/product/732085/112532045,Diskon 10%
Scarlett Whitening Acne Serum,121.277,Scarlett Shop,Shopee,4.8,2811,Bandung,https://shopee.co.id/product/356727/569323763,
Whitelab Brightening Face Serum,206707,Whitelab Flagship,Shopee,"4,7",2412,Bekasi,https://shopee.co.id/product/309778/290135573,Diskon 9%
Olay Total Effects 7 in One Day Cream,"292,582",Olay Beauty Store,Shopee,4.9,5845,Parepare,https://shopee.co.id/product/517959/249652255,Cashback 5%
Some By Mi AHA BHA PHA 30 Days Miracle Serum,87758,Some By Mi Official,Tokopedia,4.7,193,Bekasi,https://tokopedia.com/shop/product-801088-629277129,
Garnier Bright Complete Serum,,Garnier Flagship,Tokopedia,4.8,1073,Malang,https://tokopedia.com/shop/product-562552-199678061,Voucher 20K
Garnier Bright Complete Serum,298.743,Garnier Beauty Store,Tokopedia,,3298,Kediri,https://tokopedia.com/official/product-182331-312590946,voucher 20k
Pond's Bright Beauty Triple Glow Serum,3499200,Pond's Flagship,Tokopedia,4.8,3682,Depok,https://tokopedia.com/official/product-635915-567529707,Diskon 7%
Citra Pearl Fair UV Face Cream,3868,Citra Official,Tokopedia,4.9,5868,Metro,https://tokopedia.com/beauty/product-623684-272393077,Diskon 10%
NPURE Cica Beat The Sun SPF 50,169154,NPURE Official,Shopee,,8958,Salatiga,https://shopee.co.id/product/948232/377383523,
Skintific 5X Ceramide Barrier Repair Moisturizer,,Skintific Official,Tokopedia,4.8,955,Karawang,https://tokopedia.com/shop/product-402643-627574509,
Some By Mi AHA BHA PHA 30 Days Miracle Serum,141880,Some By Mi Flagship,Tokopedia,4.8,9883,Salatiga,https://tokopedia.com/official/product-405295-557559807,Diskon 5%
Avoskin Miraculous Refining Serum,167882,Avoskin Flagship,Tokopedia,,8074,Blitar,https://tokopedia.com/shop/product-765928-725660289,
Avoskin Miraculous Refining Serum,92680,Avoskin Shop,Tokopedia,4.7,5221,Salatiga,https://tokopedia.com/shop/product-933559-98452591,Diskon 7%
Elsheskin Radiant Skin Serum,262345,Elsheskin Center,Shopee,"4,8",1928,Padang,https://shopee.co.id/product/994536/279570151,
Emina Bright Stuff Face Serum,"295,793",Emina Beauty Store,Shopee,4.8,2257,Parepare,shopee.co.id/product/211757/356506009,
Hada Labo Gokujyun Ultimate Moisturizing Lotion,58528,Hada Labo Center,Tokopedia,4.7,726,Batam,https://tokopedia.com/shop/product-101168-60880431,
Some By Mi AHA BHA PHA 30 Days Miracle Serum,"84,893",Some By Mi Official,Shopee,4.8,2594,Blitar,,Diskon 12%
Wardah Lightening Day Cream Advanced Niacinamide,204133,Toko Wardah,Tokopedia,4.8,363,Magelang,https://tokopedia.com/official/product-641489-16826630,Diskon 5%
Some By Mi AHA BHA PHA 30 Days Miracle Serum,128291,Some By Mi Center,Shopee,4.8,1146,Salatiga,https://shopee.co.id/product/439549/456400681,Diskon 9%
Skintific 5X Ceramide Barrier Repair Moisturizer,,Skintific Flagship,Shopee,4.8,2419,Banyuwangi,https://shopee.co.id/product/787243/869941594,Diskon 20%
Garnier Bright Complete Serum,89139,Garnier Center,Shopee,5,3804,Solo,https://shopee.co.id/product/325360/574892753,Diskon 10%
Erha Acneact Serum,97419,Erha Flagship,Tokopedia,4.9,3932,Kudus,https://tokopedia.com/official/product-870590-78769262,BUY 1 GET 1
Hada Labo Gokujyun Ultimate Moisturizing Lotion,"95,323",Hada Labo Shop,Tokopedia,4.6,2840,Makassar,,Voucher 20K
Lacoco Dark Spot Essence,247750,Toko Lacoco,Tokopedia,4.7,326,Banjarmasin,https://tokopedia.com/shop/product-530835-936267102,
The Originote Bakuchiol Skin Barrier Serum,53056,The Originote Official,Shopee,"4,7",778,Metro,,Diskon 8%
Erha Acneact Serum,105713,Erha Center,Tokopedia,"4,9",6704,Batam,https://tokopedia.com/beauty/product-173136-328765694,buy1 get1
Whitelab Brightening Face Serum,212436,Whitelab Flagship,Tokopedia,,707,Batam,https://tokopedia.com/beauty/product-480456-95513751,Diskon 8%
Elsheskin Radiant Skin Serum,221.345,Elsheskin Official,Tokopedia,4.7,1183,Metro,https://tokopedia.com/beauty/product-331244-117108079,
Avoskin Miraculous Refining Serum,203.427,Avoskin Shop,Tokopedia,4.6,475,Surabaya,https://tokopedia.com/beauty/product-626378-550253769,
Citra Pearl Fair UV Face Cream,56550,Citra Shop,Shopee,4.8,2753,Ciamis,https://tokopedia.com/official/product-726240-189805368,cashback 5%
Avoskin Miraculous Refining Serum,90113,Avoskin Beauty Store,Tokopedia,"4,9",3394,Jakarta,https://tokopedia.com/official/product-270507-251807630,Diskon 12%
Pond's Bright Beauty Triple Glow Serum,225497,Pond's Official,Shopee,,1620,Manado,https://shopee.co.id/product/608170/655401481,Diskon 9%
Some By Mi AHA BHA PHA 30 Days Miracle Serum,,Some By Mi Center,Tokopedia,"4,6",3103,Sidoarjo,https://tokopedia.com/beauty/product-676577-633323899,Buy 1 Get 1
Skintific 5X Ceramide Barrier Repair Moisturizer,,Skintific Official,Shopee,4.7,988,Bogor,https://shopee.co.id/product/448424/639337308,Diskon 8%
Avoskin Miraculous Refining Serum,Rp84.651,Avoskin Flagship,Tokopedia,,846,Pasuruan,,Gratis Ongkir
Lacoco Dark Spot Essence,209788,Lacoco Shop,Tokopedia,4.7,2041,Pontianak,,Diskon 8%
Lacoco Dark Spot Essence,290.66,Lacoco Official,Shopee,4.7,1019,Magelang,https://shopee.co.id/product/604004/20637932,Diskon 8%
Azarine Hydramax C Sunscreen Serum,Rp32.672,Azarine Beauty Store,Shopee,4.9,367,Probolinggo,https://shopee.co.id/product/621109/457500350,
Erha Acneact Serum,177120,Erha Flagship,Tokopedia,4.8,107,Salatiga,https://tokopedia.com/official/product-169431-49057050,Diskon 12%
Pond's Bright Beauty Triple Glow Serum,224950,Pond's Official,Tokopedia,4.7,6058,Probolinggo,https://tokopedia.com/official/product-166600-883814197,Bonus Sample
Erha Acneact Serum,254813,Erha Beauty Store,Shopee,4.7,1766,Yogyakarta,https://shopee.co.id/product/955402/950577299,diskon 12%
Some By Mi AHA BHA PHA 30 Days Miracle Serum,146206,Some By Mi Beauty Store,Shopee,5,4922,Medan,https://shopee.co.id/product/828751/345021191,diskon 9%
Pond's Bright Beauty Triple Glow Serum,95917,Pond's Flagship,shopee,4.8,1467,Jakarta,,
Lacoco Dark Spot Essence,49022,Lacoco Official Store,Tokopedia,4.9,529,Tangerang,https://tokopedia.com/beauty/product-535719-426004774,Voucher 20K
The Originote Bakuchiol Skin Barrier Serum,193224,The Originote Shop,Tokopedia,5,4572,Medan,https://tokopedia.com/beauty/product-430490-709975443,Voucher 20K
Citra Pearl Fair UV Face Cream,196295,Citra Shop,Shopee,4.7,5253,Surabaya,https://shopee.co.id/product/951285/134708017,Diskon 5%
Elsheskin Radiant Skin Serum,182688,Toko Elsheskin,Tokopedia,4.7,7680,Medan,https://tokopedia.com/shop/product-985286-276605019,
Erha Acneact Serum,195482,Erha Shop,Tokopedia,4.8,2143,Kendal,https://tokopedia.com/official/product-229939-508465745,Buy 1 Get 1
Avoskin Miraculous Refining Serum,273961,Toko Avoskin,Tokopedia,,643,Pangkalan Bun,https://tokopedia.com/beauty/product-707036-941223312,
Whitelab Brightening Face Serum,138.456,Whitelab Shop,Shopee,4.9,8647,Jakarta,,Diskon 15%
MS Glow Whitening Night Cream,131833,MS Glow Official Store,Shopee,4.6,1127,Denpasar,https://shopee.co.id/product/462670/91739908,BONUS SAMPLE
Azarine Hydramax C Sunscreen Serum,,Azarine Shop,Tokopedia,4.6,1855,Solo,tokopedia.com/beauty/product-893657-610993812,buy1 get1
Some By Mi AHA BHA PHA 30 Days Miracle Serum,271930,Some By Mi Official,Tokopedia,4.9,3531,Kendal,https://tokopedia.com/shop/product-500152-995515402,Cashback 5%
Hada Labo Gokujyun Ultimate Moisturizing Lotion,152224,Hada Labo Center,Tokopedia,4.9,509,Tegal,https://tokopedia.com/beauty/product-614951-80906895,
Whitelab Brightening Face Serum,"172,647",Whitelab Flagship,Shopee,4.6,9552,Cilacap,,Diskon 12%
Some By Mi AHA BHA PHA 30 Days Miracle Serum,128749,Toko Some By Mi,Shopee,"4,8",4185,Jember,https://shopee.co.id/product/812440/847678387,Gratis Ongkir
Skintific 5X Ceramide Barrier Repair Moisturizer,Rp195.371,Skintific Flagship,Tokopedia,4.9,2327,Yogyakarta,https://tokopedia.com/official/product-689515-67201784,Buy 1 Get 1
NPURE Cica Beat The Sun SPF 50,113495,NPURE Official Store,Shopee,5,2966,Solo,shopee.co.id/product/827329/18203580,
Emina Bright Stuff Face Serum,,Toko Emina,Tokopedia,4.8,317,Jakarta,https://tokopedia.com/official/product-123719-432108647,Diskon 9%
The Originote Bakuchiol Skin Barrier Serum,152760,The Originote Flagship,Shopee,4.6,1071,Karawang,https://shopee.co.id/product/702052/832465320,Diskon 5%
Skintific 5X Ceramide Barrier Repair Moisturizer,75074,Toko Skintific,Shopee,"4,9",1490,Depok,,buy1 get1
Emina Bright Stuff Face Serum,186.566,Emina Center,Shopee,4.9,1119,Sukabumi,https://shopee.co.id/pr0duct/141770/560722847,Bonus Sample
Wardah Lightening Day Cream Advanced Niacinamide,1245,Wardah Center,Tokopedia,4.6,2976,Medan,tokopedia.com/official/product-834310-283358461,
The Originote Bakuchiol Skin Barrier Serum,52895,The Originote Flagship,Shopee,4.8,722,Pangkalan Bun,,Diskon 15%
Wardah Lightening Day Cream Advanced Niacinamide,3808,Toko Wardah,Tokopedia,,521,Padang,,Diskon 5%
Lacoco Dark Spot Essence,192363,Lacoco Center,Tokopedia,4.8,723,Pontianak,https://tokopedia.com/official/product-450608-913864122,Bonus Sample
MS Glow Whitening Night Cream,Rp149.818,MS Glow Shop,Tokopedia,,354,Ciamis,https://tokopedia.com/official/product-343207-275216964,
Emina Bright Stuff Face Serum,231904,Emina Official,Shopee,,1064,Makassar,https://shopee.co.id/product/597060/166151233,buy1 get1
MS Glow Whitening Night Cream,Rp296.245,MS Glow Center,Shopee,4.9,3099,Kediri,https://shopee.co.id/product/627299/615338658,
Avoskin Miraculous Refining Serum,242457,Avoskin Official Store,Tokopedia,4.7,8658,Medan,https://tokopedia.com/official/product-858138-331782824,DISKON 7%
Avoskin Miraculous Refining Serum,197.893,Avoskin Official Store,Tokopedia,5,3307,Palopo,,
Garnier Bright Complete Serum,221685,Toko Garnier,Tokopedia,4.9,6099,Medan,https://tokopedia.com/shop/product-679824-417881932,Voucher 20K
Hada Labo Gokujyun Ultimate Moisturizing Lotion,65.961,Hada Labo Shop,Shopee,4.7,735,Batam,https://shopee.co.id/product/566162/691367342,
Elsheskin Radiant Skin Serum,287912,Elsheskin Official Store,Tokopedia,,4379,Denpasar,https://tokopedia.com/official/product-197663-967998651,
NPURE Cica Beat The Sun SPF 50,190161,NPURE Shop,Shopee,4.7,146,Makassar,shopee.co.id/product/798335/317729557,Diskon 12%
